Timestamp,Workshop,Questions,Learned,LeadersJob,JobInStem,Presentation,Comments
3/29/17 14:24,Private Eye: Zoom in on Nature,5,5,5,5,5,
3/29/17 14:24,Private Eye: Zoom in on Nature,5,5,4,5,5,
3/29/17 14:24,"Glucose, Lactose, Sucrose, Oh' My!",5,5,5,5,5,
3/29/17 14:24,"Glucose, Lactose, Sucrose, Oh' My!",5,5,5,5,5,
3/29/17 14:25,"""Scalpel, please"": The Pathway to Surgery",5,5,3,5,5,
3/29/17 14:25,"""Scalpel, please"": The Pathway to Surgery",3,5,5,5,5,
3/29/17 14:25,Rooting into your Future,5,5,5,5,5,
3/29/17 14:25,Rooting into your Future,4,3,3,4,3,
3/29/17 14:26,Bird Bugs: Avian Pathogen Identification,4,5,4,3,5,
3/29/17 14:26,Bird Bugs: Avian Pathogen Identification,4,4,5,5,5,
3/29/17 14:26,Bird Bugs: Avian Pathogen Identification,4,4,4,5,5,
3/29/17 14:27,Bird Bugs: Avian Pathogen Identification,4,5,4,4,5,
3/29/17 14:27,Hunting for Another Earth,3,4,4,3,5,
3/29/17 14:27,Hunting for Another Earth,5,5,3,5,5,
3/29/17 14:27,Bird Bugs: Avian Pathogen Identification,,4,3,4,4,
3/29/17 14:28,Bird Bugs: Avian Pathogen Identification,5,5,4,5,5,
3/29/17 14:28,Hunting for Another Earth,5,5,3,4,4,
3/29/17 14:28,Hunting for Another Earth,3,5,3,3,5,
3/29/17 14:29,Hunting for Another Earth,5,5,4,5,5,
3/29/17 14:30,Work-Life Balance: Architect in Residence,5,5,5,5,5,I loved this workshop. the people were SO NICE
3/29/17 14:31,Banana DNA,5,5,5,5,5,I loved making the DNA show and get out of the banana.  it was so cool i wish i could come next year too. Hopefully I am. I loved this session more than all of them. <3 Great being with you guys!
3/29/17 14:32,Banana DNA,5,5,5,5,5,I loved this workshop. I learned so much and felt like a professional scientist doing the experiment. I loved the teachers and the well-thought out activities. 10/10
3/29/17 14:33,"""Scalpel, please"": The Pathway to Surgery",5,5,3,4,5,"Great Job. I wish I could be a doctor too, but I haven't decide what kind."
3/29/17 14:33,It's All Fun and Games: The Coding Concepts Behind Common Games,5,5,4,4,5,I think I would like being on this job even though I would have to learn coding languages.
